Date,Open,High,Low,Close,Adj Close,Volume
2016-02-24,24750.000000,25100.000000,24550.000000,24550.000000,21687.787109,47132
2016-02-25,24600.000000,24850.000000,24250.000000,24250.000000,21422.765625,56744
2016-02-26,24450.000000,24650.000000,24200.000000,24400.000000,21555.277344,35048
2016-02-29,24450.000000,25100.000000,24350.000000,24800.000000,21908.640625,45273
2016-03-02,25100.000000,25250.000000,24650.000000,24700.000000,21820.300781,68924
2016-03-03,24700.000000,24800.000000,24300.000000,24700.000000,21820.300781,71992
2016-03-04,24800.000000,25000.000000,24350.000000,24450.000000,21599.447266,67940
2016-03-07,24550.000000,24550.000000,24250.000000,24250.000000,21422.765625,40314
2016-03-08,24250.000000,24850.000000,24250.000000,24800.000000,21908.640625,48089
2016-03-09,24800.000000,25100.000000,24600.000000,24750.000000,21864.470703,38886
2016-03-10,24900.000000,25000.000000,24700.000000,25000.000000,22085.324219,30256
2016-03-11,25000.000000,25000.000000,24700.000000,24700.000000,21820.300781,29813
2016-03-14,24950.000000,24950.000000,24600.000000,24850.000000,21952.812500,38284
2016-03-15,24900.000000,25500.000000,24850.000000,25350.000000,22394.519531,87740
2016-03-16,25450.000000,25500.000000,25200.000000,25500.000000,22527.031250,42016
2016-03-17,25500.000000,25750.000000,24850.000000,24950.000000,22041.152344,119094
2016-03-18,24950.000000,25400.000000,24950.000000,25350.000000,22394.519531,69295
2016-03-21,25350.000000,25900.000000,25350.000000,25650.000000,22659.542969,82647
2016-03-22,25500.000000,25800.000000,25450.000000,25700.000000,22703.714844,66462
2016-03-23,25650.000000,26600.000000,25650.000000,26500.000000,23410.445313,229502
2016-03-24,26350.000000,26400.000000,26000.000000,26100.000000,23057.078125,50735
2016-03-25,26100.000000,26400.000000,25650.000000,25900.000000,22880.394531,45166
2016-03-28,26150.000000,26950.000000,26000.000000,26800.000000,23675.466797,126485
2016-03-29,26550.000000,26800.000000,26200.000000,26300.000000,23233.761719,84602
2016-03-30,26400.000000,26650.000000,25800.000000,25800.000000,22792.054688,94178
2016-03-31,25900.000000,26200.000000,25500.000000,25600.000000,22615.371094,67922
2016-04-01,25600.000000,27350.000000,25600.000000,26500.000000,23410.445313,241695
2016-04-04,27000.000000,27450.000000,26750.000000,27250.000000,24073.001953,84643
2016-04-05,27450.000000,27450.000000,26950.000000,27200.000000,24028.832031,76000
2016-04-06,27350.000000,27850.000000,27000.000000,27500.000000,24293.857422,70260
2016-04-07,27650.000000,27700.000000,27000.000000,27500.000000,24293.857422,56895
2016-04-08,27300.000000,28100.000000,27150.000000,27200.000000,24028.832031,87977
2016-04-11,27550.000000,27550.000000,26600.000000,26750.000000,23631.294922,53268
2016-04-12,26950.000000,27100.000000,26600.000000,26900.000000,23763.806641,47008
2016-04-14,27050.000000,27100.000000,25850.000000,26300.000000,23233.761719,127872
2016-04-15,26300.000000,27350.000000,26000.000000,26950.000000,23807.976563,102535
2016-04-18,26950.000000,27700.000000,26800.000000,27350.000000,24161.343750,102782
2016-04-19,27350.000000,27350.000000,26600.000000,27100.000000,23940.492188,60254
2016-04-20,27100.000000,27400.000000,26750.000000,27150.000000,23984.662109,54153
2016-04-21,27400.000000,27400.000000,26850.000000,27200.000000,24028.832031,45846
2016-04-22,27300.000000,27700.000000,26950.000000,27500.000000,24293.857422,75831
2016-04-25,27500.000000,28000.000000,27000.000000,27800.000000,24558.878906,90601
2016-04-26,27800.000000,28300.000000,27700.000000,27750.000000,24514.708984,59950
2016-04-27,27850.000000,28300.000000,27350.000000,27350.000000,24161.343750,78356
2016-04-28,27550.000000,28050.000000,27150.000000,27350.000000,24161.343750,62680
2016-04-29,27500.000000,27650.000000,27300.000000,27400.000000,24205.515625,63287
2016-05-02,27550.000000,27550.000000,26550.000000,26600.000000,23498.783203,70940
2016-05-03,26850.000000,27800.000000,26650.000000,27600.000000,24382.195313,71117
2016-05-04,27350.000000,28100.000000,27350.000000,27900.000000,24647.222656,67539
2016-05-09,27900.000000,28300.000000,27750.000000,27850.000000,24603.050781,40197
2016-05-10,28300.000000,29000.000000,28250.000000,28450.000000,25133.099609,125148
2016-05-11,28900.000000,28900.000000,28400.000000,28900.000000,25530.634766,82249
2016-05-12,28900.000000,29250.000000,28800.000000,28950.000000,25574.806641,50870
2016-05-13,29100.000000,29900.000000,28950.000000,29650.000000,26193.195313,88601
2016-05-16,29650.000000,30250.000000,29100.000000,29850.000000,26369.876953,91785
2016-05-17,29800.000000,30300.000000,29200.000000,30100.000000,26590.730469,70888
2016-05-18,30150.000000,30700.000000,29750.000000,30650.000000,27076.605469,124665
2016-05-19,31000.000000,31050.000000,29750.000000,30450.000000,26899.923828,102387
2016-05-20,30100.000000,31000.000000,29800.000000,30500.000000,26944.095703,85702
2016-05-23,30500.000000,31900.000000,30200.000000,31050.000000,27429.972656,130348
2016-05-24,30900.000000,31950.000000,30800.000000,31650.000000,27960.019531,92104
2016-05-25,32050.000000,32800.000000,31600.000000,32550.000000,28755.089844,257417
2016-05-26,32700.000000,33300.000000,31200.000000,32500.000000,28710.921875,201649
2016-05-27,32500.000000,32650.000000,31750.000000,32400.000000,28622.580078,108208
2016-05-30,32350.000000,32350.000000,31200.000000,31600.000000,27915.847656,97172
2016-05-31,31700.000000,32350.000000,31300.000000,32300.000000,28534.238281,124668
2016-06-01,32200.000000,32700.000000,31850.000000,32100.000000,28357.556641,69279
2016-06-02,32100.000000,33350.000000,31700.000000,33350.000000,29461.824219,142551
2016-06-03,33000.000000,34200.000000,33000.000000,33250.000000,29373.480469,152571
2016-06-07,32900.000000,33350.000000,32600.000000,32750.000000,28931.775391,86257
2016-06-08,32750.000000,32900.000000,32300.000000,32900.000000,29064.285156,81209
2016-06-09,32900.000000,33250.000000,31450.000000,31550.000000,27871.677734,193133
2016-06-10,32000.000000,33900.000000,31950.000000,33650.000000,29726.845703,166056
2016-06-13,33850.000000,34300.000000,32950.000000,33400.000000,29505.992188,148544
2016-06-14,33000.000000,33500.000000,32000.000000,33150.000000,29285.140625,94243
2016-06-15,33150.000000,33300.000000,32450.000000,32500.000000,28710.921875,59019
2016-06-16,32050.000000,32850.000000,31200.000000,31900.000000,28180.873047,96820
2016-06-17,32350.000000,32350.000000,30900.000000,31350.000000,27694.998047,60500
2016-06-20,31350.000000,32250.000000,31350.000000,32250.000000,28490.066406,42861
2016-06-21,32600.000000,32700.000000,32000.000000,32250.000000,28490.066406,49793
2016-06-22,32250.000000,32400.000000,31700.000000,31700.000000,28004.189453,47205
2016-06-23,31850.000000,31850.000000,30650.000000,30900.000000,27297.458984,75718
2016-06-24,31300.000000,31700.000000,29500.000000,30200.000000,26679.072266,137533
2016-06-27,29500.000000,32150.000000,29500.000000,32150.000000,28401.726563,123142
2016-06-28,32050.000000,33000.000000,31550.000000,32900.000000,29064.285156,111414
2016-06-29,32900.000000,33250.000000,32450.000000,32500.000000,28710.921875,54721
2016-06-30,32750.000000,36200.000000,32550.000000,35300.000000,31184.476563,275125
2016-07-01,35700.000000,36000.000000,34700.000000,34800.000000,30742.773438,110399
2016-07-04,35200.000000,35400.000000,34050.000000,34700.000000,30654.429688,90098
2016-07-05,34900.000000,34900.000000,34150.000000,34700.000000,30654.429688,53816
2016-07-06,34700.000000,34900.000000,33750.000000,34050.000000,30080.210938,69127
2016-07-07,34300.000000,35350.000000,33800.000000,35250.000000,31140.304688,86476
2016-07-08,35400.000000,35750.000000,34150.000000,35300.000000,31184.476563,70627
2016-07-11,35050.000000,35300.000000,34450.000000,34550.000000,30521.921875,44433
2016-07-12,34750.000000,34850.000000,33800.000000,34600.000000,30566.091797,79618
2016-07-13,34600.000000,36300.000000,34600.000000,34950.000000,30875.285156,168779
2016-07-14,35100.000000,35550.000000,34500.000000,34850.000000,30786.943359,79387
2016-07-15,34950.000000,35000.000000,33800.000000,33900.000000,29947.699219,105845
2016-07-18,33600.000000,33950.000000,33150.000000,33500.000000,29594.335938,70374
2016-07-19,33600.000000,34200.000000,33500.000000,33900.000000,29947.699219,47291
2016-07-20,33750.000000,34000.000000,33200.000000,33700.000000,29771.015625,45514
2016-07-21,33700.000000,33900.000000,33000.000000,33000.000000,29152.626953,55115
2016-07-22,32900.000000,33900.000000,32700.000000,33500.000000,29594.335938,49332
2016-07-25,33500.000000,33700.000000,32600.000000,33450.000000,29550.164063,65358
2016-07-26,33450.000000,34150.000000,33200.000000,33450.000000,29550.164063,34614
2016-07-27,33450.000000,33800.000000,32650.000000,33300.000000,29417.652344,57552
2016-07-28,33000.000000,33250.000000,32500.000000,33100.000000,29240.968750,38451
2016-07-29,33150.000000,34450.000000,33000.000000,33100.000000,29240.968750,77369
2016-08-01,33100.000000,33700.000000,32900.000000,33150.000000,29285.140625,56468
2016-08-02,33050.000000,33900.000000,33050.000000,33450.000000,29550.164063,33060
2016-08-03,33450.000000,33850.000000,32900.000000,33650.000000,29726.845703,41004
2016-08-04,33900.000000,34000.000000,33550.000000,33650.000000,29726.845703,39357
2016-08-05,33900.000000,33900.000000,33050.000000,33250.000000,29373.480469,40924
2016-08-08,33200.000000,33200.000000,31450.000000,31750.000000,28048.361328,107712
2016-08-09,31850.000000,32400.000000,31650.000000,31900.000000,28180.873047,37850
2016-08-10,31900.000000,32450.000000,31300.000000,32400.000000,28622.580078,66581
2016-08-11,32400.000000,32650.000000,32100.000000,32400.000000,28622.580078,23594
2016-08-12,32200.000000,32700.000000,31650.000000,31800.000000,28092.531250,47981
2016-08-16,31800.000000,32050.000000,31600.000000,31900.000000,28180.873047,25322
2016-08-17,31700.000000,31950.000000,31000.000000,31600.000000,27915.847656,47506
2016-08-18,31850.000000,34600.000000,31550.000000,34600.000000,30566.091797,219219
2016-08-19,34200.000000,34600.000000,32800.000000,33250.000000,29373.480469,93167
2016-08-22,33200.000000,33650.000000,31950.000000,32000.000000,28269.212891,61686
2016-08-23,32050.000000,32700.000000,32050.000000,32600.000000,28799.259766,32510
2016-08-24,32300.000000,32700.000000,32000.000000,32100.000000,28357.556641,23455
2016-08-25,31850.000000,33100.000000,31850.000000,32550.000000,28755.089844,39356
2016-08-26,32900.000000,32900.000000,32100.000000,32400.000000,28622.580078,21645
2016-08-29,33000.000000,33000.000000,31450.000000,32000.000000,28269.212891,64175
2016-08-30,32100.000000,32450.000000,31900.000000,31950.000000,28225.044922,18268
2016-08-31,31700.000000,32300.000000,31200.000000,32150.000000,28401.726563,62532
2016-09-01,31800.000000,32650.000000,31600.000000,32650.000000,28843.431641,44426
2016-09-02,32500.000000,32800.000000,32100.000000,32250.000000,28490.066406,19679
2016-09-05,32450.000000,33450.000000,32000.000000,33400.000000,29505.992188,45137
2016-09-06,33600.000000,33650.000000,32500.000000,32700.000000,28887.603516,40623
2016-09-07,32750.000000,32950.000000,31850.000000,32150.000000,28401.726563,38736
2016-09-08,32400.000000,32400.000000,31250.000000,32000.000000,28269.212891,71330
2016-09-09,31750.000000,31800.000000,31200.000000,31250.000000,27606.654297,37408
2016-09-12,30900.000000,31250.000000,30500.000000,30600.000000,27032.433594,34561
2016-09-13,30800.000000,31100.000000,29850.000000,30050.000000,26546.558594,68379
2016-09-19,30100.000000,31300.000000,29950.000000,31300.000000,27650.826172,36481
2016-09-20,31300.000000,32250.000000,30600.000000,31900.000000,28180.873047,38819
2016-09-21,31650.000000,32400.000000,31650.000000,31950.000000,28225.044922,17709
2016-09-22,32000.000000,32900.000000,32000.000000,32600.000000,28799.259766,41440
2016-09-23,32600.000000,33400.000000,32400.000000,33050.000000,29196.798828,61031
2016-09-26,33000.000000,33400.000000,32850.000000,33100.000000,29240.968750,40825
2016-09-27,33000.000000,34000.000000,32250.000000,33650.000000,29726.845703,106299
2016-09-28,34000.000000,34000.000000,33100.000000,33350.000000,29461.824219,32936
2016-09-29,33800.000000,33800.000000,33250.000000,33250.000000,29373.480469,26728
2016-09-30,33500.000000,33650.000000,32050.000000,32250.000000,28490.066406,86373
2016-10-04,31700.000000,33100.000000,31700.000000,32250.000000,28490.066406,48778
2016-10-05,32100.000000,32450.000000,31800.000000,32400.000000,28622.580078,19794
2016-10-06,32250.000000,32400.000000,31800.000000,32000.000000,28269.212891,25523
2016-10-07,32000.000000,32250.000000,31700.000000,31850.000000,28136.701172,28106
2016-10-10,31750.000000,32200.000000,31650.000000,31950.000000,28225.044922,11970
2016-10-11,31900.000000,32000.000000,31550.000000,31800.000000,28092.531250,28372
2016-10-12,31400.000000,32250.000000,31300.000000,31650.000000,27960.019531,37502
2016-10-13,31400.000000,31700.000000,31200.000000,31300.000000,27650.826172,23411
2016-10-14,31250.000000,31900.000000,31200.000000,31650.000000,27960.019531,30615
2016-10-17,31500.000000,31800.000000,30800.000000,30950.000000,27341.630859,32564
2016-10-18,30750.000000,32000.000000,30750.000000,32000.000000,28269.212891,50708
2016-10-19,31950.000000,32800.000000,31800.000000,32600.000000,28799.259766,46009
2016-10-20,32800.000000,33000.000000,31750.000000,32100.000000,28357.556641,51391
2016-10-21,32000.000000,32550.000000,31250.000000,31250.000000,27606.654297,23904
2016-10-24,31300.000000,32100.000000,31000.000000,31800.000000,28092.531250,38130
2016-10-25,31800.000000,31800.000000,30750.000000,30950.000000,27341.630859,31751
2016-10-26,30750.000000,31350.000000,30500.000000,31050.000000,27429.972656,30883
2016-10-27,30900.000000,32000.000000,30900.000000,31950.000000,28225.044922,25491
2016-10-28,32000.000000,32150.000000,31000.000000,31300.000000,27650.826172,31998
2016-10-31,31300.000000,31600.000000,31050.000000,31600.000000,27915.847656,25686
2016-11-01,31600.000000,32100.000000,31300.000000,32000.000000,28269.212891,25396
2016-11-02,32000.000000,32100.000000,31500.000000,31800.000000,28092.531250,51087
2016-11-03,32000.000000,32000.000000,31500.000000,31600.000000,27915.847656,17769
2016-11-04,32000.000000,32000.000000,31100.000000,31450.000000,27783.335938,29118
2016-11-07,31350.000000,31550.000000,31050.000000,31350.000000,27694.998047,21250
2016-11-08,31550.000000,31800.000000,31350.000000,31750.000000,28048.361328,29727
2016-11-09,32100.000000,32100.000000,29950.000000,30950.000000,27341.630859,65901
2016-11-10,31900.000000,32050.000000,31550.000000,31850.000000,28136.701172,53579
2016-11-11,32000.000000,32450.000000,31400.000000,32450.000000,28666.751953,33600
2016-11-14,32600.000000,33200.000000,32300.000000,32700.000000,28887.603516,68529
2016-11-15,32800.000000,32950.000000,32150.000000,32850.000000,29020.115234,32891
2016-11-16,33000.000000,34000.000000,32950.000000,33850.000000,29903.529297,99094
2016-11-17,34000.000000,34150.000000,33550.000000,34000.000000,30036.041016,52265
2016-11-18,34250.000000,34750.000000,33550.000000,34250.000000,30256.894531,64810
2016-11-21,34250.000000,34750.000000,34050.000000,34500.000000,30477.750000,44077
2016-11-22,34750.000000,34750.000000,33750.000000,34250.000000,30256.894531,33248
2016-11-23,34000.000000,34000.000000,32950.000000,32950.000000,29108.457031,47934
2016-11-24,32800.000000,33500.000000,32350.000000,32850.000000,29020.115234,44706
2016-11-25,32650.000000,33650.000000,32550.000000,33450.000000,29550.164063,37214
2016-11-28,33150.000000,33600.000000,32550.000000,32700.000000,28887.603516,20646
2016-11-29,32550.000000,33250.000000,32500.000000,33050.000000,29196.798828,17699
2016-11-30,33250.000000,33800.000000,32350.000000,33800.000000,29859.359375,65424
2016-12-01,33800.000000,33800.000000,32800.000000,33500.000000,29594.335938,39951
2016-12-02,33500.000000,33750.000000,32350.000000,32950.000000,29108.457031,75330
2016-12-05,33000.000000,33300.000000,32900.000000,33150.000000,29285.140625,20240
2016-12-06,33400.000000,33450.000000,32500.000000,33450.000000,29550.164063,14066
2016-12-07,33450.000000,33600.000000,33000.000000,33500.000000,29594.335938,42141
2016-12-08,33500.000000,34050.000000,33150.000000,33350.000000,29461.824219,44770
2016-12-09,33450.000000,34350.000000,33400.000000,34050.000000,30080.210938,39892
2016-12-12,34500.000000,34550.000000,34150.000000,34450.000000,30433.578125,36180
2016-12-13,34450.000000,35000.000000,34200.000000,35000.000000,30919.455078,50207
2016-12-14,35000.000000,35200.000000,34500.000000,35000.000000,30919.455078,37301
2016-12-15,35000.000000,36000.000000,34850.000000,36000.000000,31802.867188,80256
2016-12-16,35950.000000,36300.000000,35250.000000,36250.000000,32023.722656,56073
2016-12-19,36000.000000,36500.000000,35700.000000,36250.000000,32023.722656,35696
2016-12-20,36000.000000,36250.000000,34650.000000,34750.000000,30698.601563,62393
2016-12-21,34850.000000,35250.000000,34500.000000,35250.000000,31140.304688,22937
2016-12-22,35300.000000,35300.000000,34000.000000,34000.000000,30036.041016,45745
2016-12-23,34050.000000,34950.000000,34000.000000,34750.000000,30698.601563,30976
2016-12-26,34550.000000,35050.000000,34450.000000,34800.000000,30742.773438,14954
2016-12-27,34700.000000,34950.000000,34600.000000,34800.000000,30742.773438,16945
2016-12-28,34700.000000,35000.000000,34400.000000,34600.000000,31193.548828,23486
2016-12-29,34650.000000,34950.000000,34150.000000,34750.000000,31328.779297,26024
2017-01-02,34750.000000,34750.000000,33800.000000,33850.000000,30517.384766,14126
2017-01-03,33850.000000,33900.000000,33000.000000,33550.000000,30246.917969,64079
2017-01-04,33550.000000,33700.000000,32750.000000,33000.000000,29751.070313,71450
2017-01-05,32900.000000,33850.000000,32900.000000,33850.000000,30517.384766,74173
2017-01-06,33900.000000,33900.000000,33400.000000,33850.000000,30517.384766,29430
2017-01-09,33850.000000,34000.000000,33500.000000,33900.000000,30562.460938,22301
2017-01-10,33650.000000,34050.000000,33300.000000,33850.000000,30517.384766,55149
2017-01-11,33500.000000,33800.000000,33000.000000,33350.000000,30066.611328,59848
2017-01-12,33200.000000,33200.000000,32550.000000,32750.000000,29525.681641,53009
2017-01-13,32700.000000,33550.000000,32400.000000,32600.000000,29390.449219,36663
2017-01-16,32600.000000,33600.000000,32200.000000,32800.000000,29570.759766,42942
2017-01-17,32550.000000,33300.000000,32500.000000,32550.000000,29345.371094,19853
2017-01-18,32500.000000,32750.000000,32250.000000,32300.000000,29119.986328,15570
2017-01-19,32200.000000,32400.000000,31400.000000,31600.000000,28488.902344,45752
2017-01-20,31600.000000,32250.000000,31600.000000,32150.000000,28984.753906,24025
2017-01-23,32300.000000,33550.000000,31850.000000,32600.000000,29390.449219,37545
2017-01-24,32250.000000,33150.000000,31700.000000,31950.000000,28804.443359,24688
2017-01-25,31900.000000,32300.000000,31400.000000,31400.000000,28308.591797,19145
2017-01-26,31400.000000,32000.000000,31400.000000,31500.000000,28398.746094,17969
2017-01-31,31150.000000,34150.000000,31150.000000,32050.000000,28894.599609,41140
2017-02-01,32500.000000,32750.000000,32000.000000,32400.000000,29210.142578,33617
2017-02-02,32400.000000,32500.000000,31300.000000,31750.000000,28624.132813,43295
2017-02-03,31600.000000,31850.000000,31150.000000,31200.000000,28128.285156,42755
2017-02-06,31150.000000,32000.000000,31150.000000,31850.000000,28714.287109,42306
2017-02-07,31750.000000,32750.000000,31500.000000,31850.000000,28714.287109,37385
2017-02-08,31750.000000,32000.000000,31500.000000,31900.000000,28759.367188,26503
2017-02-09,31550.000000,31950.000000,31450.000000,31500.000000,28398.746094,23819
2017-02-10,31700.000000,31900.000000,31450.000000,31600.000000,28488.902344,21785
2017-02-13,31600.000000,32000.000000,31400.000000,31950.000000,28804.443359,28399
2017-02-14,31950.000000,32350.000000,31650.000000,32200.000000,29029.830078,16641
2017-02-15,32100.000000,32700.000000,32050.000000,32500.000000,29300.296875,26078
2017-02-16,32650.000000,32750.000000,32250.000000,32400.000000,29210.142578,22101
2017-02-17,32150.000000,32500.000000,32150.000000,32350.000000,29165.064453,10818
2017-02-20,32600.000000,33000.000000,31900.000000,32500.000000,29300.296875,29003
2017-02-21,32350.000000,32850.000000,32350.000000,32750.000000,29525.681641,22000
2017-02-22,32550.000000,32900.000000,32450.000000,32500.000000,29300.296875,24492
2017-02-23,32650.000000,32750.000000,32400.000000,32450.000000,29255.218750,12136
2017-02-24,32450.000000,32950.000000,32450.000000,32900.000000,29660.914063,65746
2017-02-27,33000.000000,33750.000000,32950.000000,33700.000000,30382.150391,59166
2017-02-28,33800.000000,33800.000000,33250.000000,33450.000000,30156.765625,25898
2017-03-02,33700.000000,33700.000000,33000.000000,33700.000000,30382.150391,20319
2017-03-03,33500.000000,33800.000000,33150.000000,33150.000000,29886.300781,44360
2017-03-06,33150.000000,33450.000000,32500.000000,32850.000000,29615.837891,23577
2017-03-07,32550.000000,33250.000000,32350.000000,32800.000000,29570.759766,39600
2017-03-08,32750.000000,33200.000000,32200.000000,32600.000000,29390.449219,23766
2017-03-09,32500.000000,32950.000000,32350.000000,32650.000000,29435.527344,57483
2017-03-10,32700.000000,32800.000000,32000.000000,32000.000000,28849.521484,38644
2017-03-13,32000.000000,32250.000000,31900.000000,32050.000000,28894.599609,15681
2017-03-14,32250.000000,32250.000000,31450.000000,31600.000000,28488.902344,52773
2017-03-15,31600.000000,31750.000000,31250.000000,31550.000000,28443.824219,20847
2017-03-16,31800.000000,31950.000000,31100.000000,31950.000000,28804.443359,37200
2017-03-17,31750.000000,31900.000000,31350.000000,31500.000000,28398.746094,34371
2017-03-20,31500.000000,31800.000000,31250.000000,31500.000000,28398.746094,30975
2017-03-21,31600.000000,32250.000000,31500.000000,32200.000000,29029.830078,32004
2017-03-22,32100.000000,32450.000000,31500.000000,31650.000000,28533.978516,50603
2017-03-23,32050.000000,32250.000000,31750.000000,31800.000000,28669.210938,30703
2017-03-24,32300.000000,32300.000000,31600.000000,31600.000000,28488.902344,43445
2017-03-27,31600.000000,32400.000000,31600.000000,32350.000000,29165.064453,23430
2017-03-28,32400.000000,32550.000000,32200.000000,32450.000000,29255.218750,78499
2017-03-29,32550.000000,33000.000000,32200.000000,32800.000000,29570.759766,27337
2017-03-30,33150.000000,33150.000000,32150.000000,32150.000000,28984.753906,16412
2017-03-31,32250.000000,32750.000000,32200.000000,32450.000000,29255.218750,20302
2017-04-03,32500.000000,32950.000000,32450.000000,32850.000000,29615.837891,26032
2017-04-04,32900.000000,33000.000000,32450.000000,32850.000000,29615.837891,11773
2017-04-05,32950.000000,33050.000000,32500.000000,32600.000000,29390.449219,25916
2017-04-06,32900.000000,33500.000000,32600.000000,33050.000000,29796.148438,42749
2017-04-07,33000.000000,34300.000000,32950.000000,34300.000000,30923.082031,55736
2017-04-10,34500.000000,34600.000000,33550.000000,34550.000000,31148.470703,33133
2017-04-11,34400.000000,34550.000000,33500.000000,33500.000000,30201.843750,27236
2017-04-12,33750.000000,33900.000000,33400.000000,33800.000000,30472.306641,23768
2017-04-13,33600.000000,34150.000000,33550.000000,33850.000000,30517.384766,16526
2017-04-14,33600.000000,33950.000000,33400.000000,33400.000000,30111.689453,17276
2017-04-17,33350.000000,33700.000000,32950.000000,33050.000000,29796.148438,26638
2017-04-18,33150.000000,33850.000000,32800.000000,33800.000000,30472.306641,27558
2017-04-19,33800.000000,34150.000000,33500.000000,34000.000000,30652.615234,29214
2017-04-20,34000.000000,34000.000000,33500.000000,33900.000000,30562.460938,25075
2017-04-21,33650.000000,33700.000000,33400.000000,33400.000000,30111.689453,31380
2017-04-24,33200.000000,33950.000000,33200.000000,33450.000000,30156.765625,15920
2017-04-25,33550.000000,34150.000000,33450.000000,34050.000000,30697.693359,39261
2017-04-26,34000.000000,34050.000000,33100.000000,33150.000000,29886.300781,63492
2017-04-27,33500.000000,33600.000000,33200.000000,33500.000000,30201.843750,30144
2017-04-28,33500.000000,33850.000000,33300.000000,33850.000000,30517.384766,24653
2017-05-02,33850.000000,34250.000000,33650.000000,34150.000000,30787.849609,27986
2017-05-04,34150.000000,34550.000000,33950.000000,34250.000000,30878.003906,26810
2017-05-08,34050.000000,35150.000000,34050.000000,35000.000000,31554.166016,40763
2017-05-10,35150.000000,35150.000000,34300.000000,34700.000000,31283.701172,42798
2017-05-11,34850.000000,34850.000000,34200.000000,34550.000000,31148.470703,20371
2017-05-12,34550.000000,34750.000000,34200.000000,34400.000000,31013.236328,16201
2017-05-15,34400.000000,34900.000000,34000.000000,34850.000000,31418.933594,20246
2017-05-16,34950.000000,35000.000000,33750.000000,34100.000000,30742.773438,35526
2017-05-17,34350.000000,34350.000000,33750.000000,34100.000000,30742.773438,34843
2017-05-18,33750.000000,34100.000000,33650.000000,33650.000000,30337.074219,27768
2017-05-19,33850.000000,33850.000000,33400.000000,33700.000000,30382.150391,16242
2017-05-22,33450.000000,33750.000000,33300.000000,33500.000000,30201.843750,14484
2017-05-23,33650.000000,33800.000000,33100.000000,33500.000000,30201.843750,31498
2017-05-24,33400.000000,33850.000000,33300.000000,33800.000000,30472.306641,22748
2017-05-25,33800.000000,34100.000000,33500.000000,34100.000000,30742.773438,26673
2017-05-26,34000.000000,34350.000000,33400.000000,33650.000000,30337.074219,34292
2017-05-29,33550.000000,33700.000000,33300.000000,33350.000000,30066.611328,18373
2017-05-30,33350.000000,33850.000000,33300.000000,33600.000000,30291.996094,18121
2017-05-31,33850.000000,34900.000000,33500.000000,34900.000000,31464.009766,60531
2017-06-01,34750.000000,34750.000000,33550.000000,33550.000000,30246.917969,63258
