Date,Open,High,Low,Close,Adj Close,Volume
2016-02-12,1230000.000000,1240000.000000,1142000.000000,1180000.000000,1114860.750000,11311
2016-02-15,1198000.000000,1279000.000000,1195000.000000,1274000.000000,1203671.625000,9462
2016-02-16,1263000.000000,1323000.000000,1263000.000000,1298000.000000,1226346.625000,6873
2016-02-17,1300000.000000,1325000.000000,1205000.000000,1230000.000000,1162100.625000,12108
2016-02-18,1259000.000000,1281000.000000,1222000.000000,1240000.000000,1171548.500000,10113
2016-02-19,1240000.000000,1274000.000000,1225000.000000,1238000.000000,1169658.875000,9792
2016-02-22,1231000.000000,1265000.000000,1230000.000000,1241000.000000,1172493.250000,5577
2016-02-23,1238000.000000,1256000.000000,1191000.000000,1218000.000000,1150762.875000,8573
2016-02-24,1190000.000000,1229000.000000,1168000.000000,1172000.000000,1107302.250000,11924
2016-02-25,1166000.000000,1185000.000000,1156000.000000,1162000.000000,1097854.375000,12475
2016-02-26,1165000.000000,1192000.000000,1155000.000000,1189000.000000,1123363.750000,9132
2016-02-29,1191000.000000,1191000.000000,1126000.000000,1146000.000000,1082737.625000,15785
2016-03-02,1151000.000000,1186000.000000,1147000.000000,1186000.000000,1120529.500000,11657
2016-03-03,1188000.000000,1234000.000000,1165000.000000,1217000.000000,1149818.250000,12449
2016-03-04,1199000.000000,1199000.000000,1061000.000000,1070000.000000,1010933.062500,38274
2016-03-07,1074000.000000,1093000.000000,1050000.000000,1072000.000000,1012822.500000,15311
2016-03-08,1063000.000000,1069000.000000,1026000.000000,1037000.000000,979754.687500,16237
2016-03-09,1036000.000000,1060000.000000,1030000.000000,1043000.000000,985423.500000,15501
2016-03-10,1046000.000000,1050000.000000,1035000.000000,1043000.000000,985423.500000,7210
2016-03-11,1046000.000000,1064000.000000,1035000.000000,1050000.000000,992037.062500,8224
2016-03-14,1054000.000000,1056000.000000,1017000.000000,1018000.000000,961803.500000,11893
2016-03-15,1020000.000000,1034000.000000,1015000.000000,1020000.000000,963693.125000,9682
2016-03-16,1018000.000000,1045000.000000,1018000.000000,1033000.000000,975975.437500,9122
2016-03-17,1038000.000000,1043000.000000,1010000.000000,1019000.000000,962748.312500,11942
2016-03-18,1020000.000000,1043000.000000,995000.000000,999000.000000,943852.375000,30208
2016-03-21,1003000.000000,1003000.000000,981000.000000,986000.000000,931570.000000,14152
2016-03-22,992000.000000,1016000.000000,991000.000000,1004000.000000,948576.312500,11545
2016-03-23,1008000.000000,1015000.000000,982000.000000,997000.000000,941962.875000,7565
2016-03-24,988000.000000,997000.000000,978000.000000,990000.000000,935349.250000,8127
2016-03-25,993000.000000,997000.000000,982000.000000,983000.000000,928735.625000,6549
2016-03-28,983000.000000,989000.000000,950000.000000,954000.000000,901336.500000,13375
2016-03-29,957000.000000,961000.000000,921000.000000,925000.000000,873937.375000,17904
2016-03-30,930000.000000,931000.000000,906000.000000,911000.000000,860710.250000,15482
2016-03-31,916000.000000,920000.000000,898000.000000,907000.000000,856931.000000,8136
2016-04-01,911000.000000,947000.000000,904000.000000,928000.000000,876771.812500,14846
